Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\Petroline\LCD_KB_CONTROLLER_hv2\Project Outputs for LCD_KB_CONTROLLER_hv2\Pick Place\Pick Place for LCD_KB_CONTROLLER_hv2.csv

========================================================================================================================
File Design Information:

Date:       12.03.18
Time:       10:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"XP12","PLS04","TopLayer","PIN04S","28,7400","39,8000","180","PLS04"
"VD19","LED_0805","TopLayer","LED0805","29,3500","9,3750","270",""
"R38","2k2","TopLayer","RC0603","29,3250","12,6247","90","RC0603"
"C32","1000uFx6.3V","TopLayer","CC8X3.5","25,8250","32,5750","270","CAP0.35"
"FU12","RXE-110","TopLayer","RXE-110","26,4250","21,1850","270","RXE-110"
"VD18","SMBJ36A","TopLayer","SMB","5,6250","21,7250","270","SMBJ36A"
"C44","0.1uF","TopLayer","CC0603","61,0750","64,5000","180","CC0603"
"R37","4k7","TopLayer","RC0603","38,3503","33,8750","180","RC0603"
"XP11","MW03D","TopLayer","MW03D","5,4250","42,3250","360","MW03D"
"XP10","DG330-2PIN","TopLayer","DG330-2PIN","5,3000","9,1250","0",""
"XP9","BH-10","TopLayer","BH-10","4,9550","56,5050","270","BH-10"
"XP8","DG330-3P","TopLayer","DG330-3PIN","41,4000","85,8000","180",""
"XP7","DG330-2PIN","TopLayer","DG330-2PIN","5,9000","85,8000","180",""
"XP6","DG330-3P","TopLayer","DG330-3PIN","56,4000","85,8000","180",""
"XP5","DG330-3PIN","TopLayer","DG330-3PIN","56,4000","9,1250","360",""
"XP4","DG330-2PIN","TopLayer","DG330-2PIN","15,3000","9,1250","0",""
"XP3","DG330-3PIN","TopLayer","DG330-3PIN","41,4000","9,1250","360",""
"XP2","DG330-2PIN","TopLayer","DG330-2PIN","15,9000","85,8000","180",""
"XP1","PLD-06","TopLayer","PIN6","61,5800","50,5900","90","PLD06"
"VT3","BC817-40","TopLayer","SOT-23(123)","24,6057","56,9000","360","NPN 500ma transistor"
"VT2","BC817-40","TopLayer","SOT-23(123)","61,5557","24,6410","180","NPN 500ma transistor"
"VT1","BC817-40","TopLayer","SOT-23(123)","59,2693","20,9660","360","NPN 500ma transistor"
"VD17","SMBJ5.0A","TopLayer","SMB","41,7000","74,5250","360","SMBJ"
"VD16","BZV55C3V6","TopLayer","SOD-80","41,1000","71,2500","360","Zener Voltage Regulator Diode"
"VD15","SK34SMA","TopLayer","SMA","20,6500","25,0000","180","Schottky Rectifier"
"VD14","GS1M","TopLayer","SMA","1,8750","21,7500","90","GS1M"
"VD13","BAV99","TopLayer","SOT-23(GSD)","13,3590","73,8807","360","1.0 Ampere General Purpose Rectifier"
"VD12","SMBJ5.0A","TopLayer","SMB","17,3250","70,9500","270","SMBJ"
"VD11","SMBJ5.0A","TopLayer","SMB","9,4250","70,9500","90","SMBJ"
"VD10","BAV99","TopLayer","SOT-23(GSD)","13,3590","69,8943","360","1.0 Ampere General Purpose Rectifier"
"VD9","PESD2CAN","TopLayer","SOT-23(123)","29,6057","3,5160","180","TVS for CAN"
"VD8","LL4148","TopLayer","SOD-80","13,2500","63,2000","180","LL4148"
"VD7","LL4148","TopLayer","SOD-80","13,2500","58,1250","180","LL4148"
"VD6","LL4148","TopLayer","SOD-80","13,2500","65,6250","180","LL4148"
"VD5","LL4148","TopLayer","SOD-80","13,2500","60,7000","180","LL4148"
"VD4","BAT54S","TopLayer","SOT-23(GSD)","35,3410","31,9193","180","1.0 Ampere General Purpose Rectifier"
"VD3","BAT54S","TopLayer","SOT-23(GSD)","47,8000","68,8193","0","1.0 Ampere General Purpose Rectifier"
"VD2","LED_0805","TopLayer","LED0805","24,9000","91,4750","90",""
"VD1","LED_0805","TopLayer","LED0805","30,6750","91,4750","90",""
"REPER2","REPER1.2","TopLayer","REPER1.2","3,4000","89,5000","90","REPER1.2"
"REPER1","REPER1.2","TopLayer","REPER1.2","61,4000","5,5000","90","REPER1.2"
"R36","18k 1%","TopLayer","RC0603","17,7003","48,9250","180","RC0603"
"R35","51E","TopLayer","RC0603","39,8747","66,5250","360","RC0603"
"R34","11k 1%","TopLayer","RC0603","17,2000","51,2247","90","RC0603"
"R33","13k 1%","TopLayer","RC0603","15,1247","21,3750","360","RC0603"
"R32","240k","TopLayer","RC0603","12,0003","21,3750","180","RC0603"
"R31","12k","TopLayer","RC0603","20,9997","21,4000","360","RC0603"
"R30","68k1 1%","TopLayer","RC0603","18,0497","21,3750","360","RC0603"
"R29","4k7","TopLayer","RC0603","11,5250","55,4003","270","RC0603"
"R28","4k7","TopLayer","RC0603","13,0750","55,4003","270","RC0603"
"R27","4k7","TopLayer","RC0603","14,6250","55,4003","270","RC0603"
"R26","4k7","TopLayer","RC0603","16,1750","55,4003","270","RC0603"
"R25","10k","TopLayer","RC0603","28,3003","55,8750","180","RC0603"
"R24","36k","TopLayer","RC0603","21,0497","45,1500","360","RC0603"
"R23","2k","TopLayer","RC0603","20,4747","40,5250","360","RC0603"
"R22","100k","TopLayer","RC0603","17,5000","37,8503","270","RC0603"
"R21","10k","TopLayer","RC0603","20,4497","42,0500","360","RC0603"
"R20","100k","TopLayer","RC0603","19,2000","38,2253","270","RC0603"
"R19","100k","TopLayer","RC0603","15,8250","37,8503","270","RC0603"
"R18","51k","TopLayer","RC0603","21,0497","46,6750","360","RC0603"
"R17","2k2","TopLayer","RC0603","42,4497","20,3996","360","RC0603"
"R16","2k2","TopLayer","RC0603","42,6253","22,6000","180","RC0603"
"R15","100E","TopLayer","RC0603","60,0997","44,7000","360","RC0603"
"R14","10k","TopLayer","RC0603","32,8500","32,9753","270","RC0603"
"R13","120k","TopLayer","RC0603","31,1250","31,3997","90","RC0603"
"R12","100E","TopLayer","RC0603","58,0497","24,7000","360","RC0603"
"R11","20k1","TopLayer","RC0603","24,6497","45,1000","360","RC0603"
"R10","12k1","TopLayer","RC0603","25,4250","49,6497","90","RC0603"
"R9","100E","TopLayer","RC0603","57,0253","26,3000","180","RC0603"
"R8","10k","TopLayer","RC0603","62,2500","20,7003","270","RC0603"
"R7","330E","TopLayer","RC0603","47,8000","74,2503","270","RC0603"
"R6","4k7","TopLayer","RC0603","50,4000","69,0497","270","RC0603"
"R5","1k","TopLayer","RC0603","29,0250","87,7747","90","RC0603"
"R4","1k","TopLayer","RC0603","30,6750","87,7747","90","RC0603"
