Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\VideoMonitoring\VM02_hv3\Project Outputs for Free Documents\Pick Place\Pick Place for VM02_hv3.csv

========================================================================================================================
File Design Information:

Date:       01.11.18
Time:       11:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"XP12","PLS03","TopLayer","PLS-03","88,3750","20,4500","90","PLS03"
"BAT1","CR2032-VBY4","TopLayer","CR2032_ONBOARD","169,9000","43,5750","270",""
"QR2","MS3V-T1R","TopLayer","MS3V-T1R","172,0000","45,5750","180","CRYSTAL_32768 Hz"
"J6","PLS-02","TopLayer","PLS-02","175,7050","2,1750","180","PLS-02"
"DD5","PCF8563","TopLayer","SO-8","174,1650","40,0690","180",""
"C33","n.p","TopLayer","CC0603","171,3350","47,6500","360","CC0603"
"C32","n.p","TopLayer","CC0603","174,7750","48,4250","270","CC0603"
"C31","0.1uF","TopLayer","CC0603","178,8250","37,2750","180","CC0603"
"C30","0.1uF","TopLayer","CC0603","179,9250","46,6662","270","CC0603"
"REP2","REPER_POINT_1.2","TopLayer","REPER1.2","3,0250","3,1250","0","REPER1.2"
"REP1","REPER_POINT_1.2","TopLayer","REPER1.2","177,6500","70,1750","0","REPER1.2"
"FU1","RXE-250","TopLayer","RXE-185","97,3100","8,3500","360","RXE-185"
"VT14","BC817-40","TopLayer","SOT-23(123)","102,1816","38,9910","360","NPN 500ma transistor"
"VT13","IRFR9220","TopLayer","D-PAK(TO-252AA)","93,6250","41,7000","180","HEXFET Power MOSFET"
"R72","10k","TopLayer","RC0603","105,2500","39,7253","270","RC0603"
"R71","4k7","TopLayer","RC0603","104,4753","42,3248","180","RC0603"
"R70","10k","TopLayer","RC0603","96,4503","37,2500","180","RC0603"
"FU6","RXE-110","TopLayer","RXE-110","113,4150","44,8750","180","RXE-110"
"XP9","USB1X04SD-H-CN","TopLayer","USB_A_FRONT","78,8125","70,2125","360","Vertical USB connetctor,type A.THR"
"VD27","BAT54C","TopLayer","SOT-23(123)","179,3066","40,0160","360","BAT54C"
"R68","4k7","TopLayer","RC0603","171,3503","34,7250","180","RC0603"
"R67","4k7","TopLayer","RC0603","174,3247","34,7250","360","RC0603"
"R66","0E","TopLayer","RC0603","174,8253","4,6250","180","RC0603"
"R65","0E","TopLayer","RC0603","175,1503","9,7750","180","RC0603"
"J5","PLS-02","TopLayer","PLS-02","175,6450","7,4750","180","PLS-02"
